[CITROEN]
Part,Berlingo First Van,C4 Phase 3,C4 Phase 3 BLUEHDI (BBYHSA) 110 CV Diesel 2020 - ... YHS (DV5RCE),C4 Phase 3 e-C4 (BCZKXC) 136 CV Électrique 2020 - ... ZKX (ZK01),Citroën Berlingo 2 Van,CITROËN C3 II Van / 3/5 portes (SC),"CITROËN C3 III Van / 3/5 portes (SX, SY)","CITROËN C3 III Van / 3/5 portes (SX, SY) BlueHDi 102 CV Diesel 2019 - ... YHY (DV5RD)","CITROËN C3 III Van / 3/5 portes (SX, SY) PureTech 110 CV Essence 2019 - ... HNZ (EB2DT)",Citroën C3 Phase 1,Citroën C4 3/5 Portes
Alternateur,30,4,7,5,39,23,12,10,6,10,44
Amortisseur (arrière),,19,19,19,,24,24,24,24,,19
Amortisseur (avant),12,6,6,6,30,7,5,5,5,15,6
Biellette de barre stabilisatrice,41,21,21,21,41,21,21,21,21,21,41
Bobine d'allumage,5,5,5,5,5,5,5,5,5,5,5
Bougie,7,7,7,7,18,7,7,7,7,7,11
Bougie de préchauffage,4,10,10,10,14,10,10,10,10,,10
Disque de frein (arrière),27,10,10,10,27,10,10,10,10,27,10
Disque de frein (avant),14,14,14,14,14,14,14,16,14,14,14
Démarreur,35,11,11,14,31,14,14,14,14,33,43
Filtre d'habitacle,7,10,10,10,7,10,10,10,10,,7
Filtre à air,10,10,10,10,10,8,8,8,8,8,26
Filtre à carburant,13,20,20,20,33,20,20,20,20,20,20
Filtre à huile,11,14,14,14,33,22,22,22,22,12,12
Injecteur,4,4,4,4,4,4,4,4,4,4,4
Joint de culasse,10,,,,10,11,11,11,11,11,11
Kit chaîne de distribution,17,7,7,7,17,7,7,8,7,7,17
Kit d'embrayage,19,3,9,9,3,9,9,9,9,5,24
Kit de courroie d'accessoire,4,5,5,5,9,5,5,5,5,12,12
Plaquette de frein (arrière),28,8,8,8,28,8,8,8,8,28,28
Plaquette de frein (avant),21,15,21,14,28,21,21,22,21,21,21
Pompe à eau,7,25,15,1,22,7,7,7,7,7,7
Radiateur,10,4,4,4,10,,,,,,10
Rotule de direction,20,7,7,7,23,14,47,47,47,18,31
Roulement de roue (arrière),,40,40,40,,39,39,39,39,14,14
